sample_index,case,output_file,time_records,time_start,time_end,TREFHT_mean,TREFHT_std,TREFHT_min,TREFHT_max,TMQ_mean,TMQ_std,TMQ_min,TMQ_max,CLDTOT_mean,CLDTOT_std,CLDTOT_min,CLDTOT_max,FSNS_mean,FSNS_std,FSNS_min,FSNS_max,FLNS_mean,FLNS_std,FLNS_min,FLNS_max,LHFLX_mean,LHFLX_std,LHFLX_min,LHFLX_max,SHFLX_mean,SHFLX_std,SHFLX_min,SHFLX_max,PS_mean,PS_std,PS_min,PS_max,TS_mean,TS_std,TS_min,TS_max,T_mean,T_std,T_min,T_max,Q_mean,Q_std,Q_min,Q_max,CLOUD_mean,CLOUD_std,CLOUD_min,CLOUD_max,CLDICE_mean,CLDICE_std,CLDICE_min,CLDICE_max,CLDLIQ_mean,CLDLIQ_std,CLDLIQ_min,CLDLIQ_max,PRECC_mean,PRECC_std,PRECC_min,PRECC_max,PRECC_mean_mm_day,PRECL_mean,PRECL_std,PRECL_min,PRECL_max,PRECL_mean_mm_day,PRECT_mean,PRECT_std,PRECT_min,PRECT_max,PRECT_mean_mm_day
0,run_e3sm_scm_ARM97_qmc64_0706_000,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_000.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,300.6053937876864,3.505027160331827,292.2444152832031,309.1665954589844,47.891754019059974,8.159661793281202,28.05217933654785,69.53531646728516,0.9399869543913745,0.17332880872707837,0.0,1.0,180.71486102291544,227.807545221414,0.0,865.0850830078125,33.13160825128838,12.788321177259068,-1.8544453382492065,67.28488159179688,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,244.902609122668,35.77987212110153,194.76710510253906,309.97735595703125,0.0038827289384294403,0.005870625608219053,4.480875226420267e-09,0.023644138127565384,0.12882900142834325,0.30037185932834365,0.0,1.0,6.390468344365091e-06,2.7499941898417574e-05,0.0,0.0005911024054512382,1.0301672686701476e-06,1.1218773302177038e-05,0.0,0.0006263002287596464,3.012927516154519e-08,6.953768529261345e-08,0.0,5.053942686572555e-07,2.603169373957504,8.99248386783759e-09,3.455855785319609e-08,0.0,3.772544232560904e-07,0.7769506061811678,3.912175902938278e-08,9.086331429871309e-08,0.0,8.208829171962861e-07,3.3801199801386725
1,run_e3sm_scm_ARM97_qmc64_0706_001,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_001.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,302.72288431331003,3.337382964200505,293.0074157714844,309.92889404296875,41.28684851109647,7.180995668553095,26.095046997070312,63.79289245605469,0.9608548331204093,0.17526699720208738,0.0,1.0,191.77796777177323,248.1970621421227,0.0,862.6923217773438,33.925214185797756,16.726407588314693,-9.387619018554688,73.3690185546875,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.5690124497975,36.58871947463827,194.99305725097656,311.64312744140625,0.0034059076503265484,0.005259398054143931,3.1672953149097793e-09,0.02506890520453453,0.1409582002833454,0.33169079517323463,0.0,1.0,5.841018670872486e-06,2.620253084928584e-05,0.0,0.0006974574644118547,4.461014800833706e-07,8.657894483940173e-06,0.0,0.0008697212324477732,3.871294325601004e-08,1.0814640323065822e-07,0.0,7.779386237416475e-07,3.3447982973192674,4.79498511544959e-09,2.060203130715728e-08,0.0,3.095837257660605e-07,0.41428671397484457,4.350792837145963e-08,1.1208310587652993e-07,0.0,7.797919840957235e-07,3.7590850112941117
2,run_e3sm_scm_ARM97_qmc64_0706_002,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_002.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,301.73080612927845,3.4265564303033442,292.82623291015625,309.6812744140625,45.04580596086977,7.838626379262051,26.974218368530273,68.34343719482422,0.9722868307289317,0.1125256317655674,0.004471930675208569,1.0,185.44516472856077,242.60454685740876,0.0,855.4857177734375,32.82173242768924,15.571369597448387,0.349036306142807,73.57415008544922,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.15955568211282,35.878008361055784,197.5060272216797,310.4595642089844,0.0036134341968387367,0.005426709732808328,1.0022199070647275e-08,0.022396808490157127,0.14526597323210488,0.3235392168859803,0.0,1.0,4.926379229760542e-06,2.1889705003826412e-05,0.0,0.0005705662188120186,1.3916952163793915e-06,1.6303898918343925e-05,0.0,0.0007612683693878353,3.666786718887223e-08,1.1092964767223633e-07,0.0,9.333825232715753e-07,3.1681037251185606,5.613859539817995e-09,1.9400680757429276e-08,0.0,2.087812731588201e-07,0.48503746424027483,4.228172672869023e-08,1.1273940092410067e-07,0.0,9.473052884345634e-07,3.653141189358836
3,run_e3sm_scm_ARM97_qmc64_0706_003,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_003.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,301.0206607913284,3.5813120792785,292.13409423828125,310.3305358886719,46.483545688174075,7.621897433061316,27.690698623657227,67.11187744140625,0.952720453710176,0.18044633658182233,0.0,1.0,180.8071358520284,242.32309379301282,-8.881784197001252e-16,865.9112548828125,32.52070459678137,15.016608854315209,-3.383312702178955,68.96861267089844,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,244.93078550822835,36.08644955623323,190.9853057861328,311.3745422363281,0.0037472671333242972,0.005654113486798838,8.280164998097916e-09,0.024409154430031776,0.1488385713308759,0.33109497278710015,0.0,1.0,6.732062274109383e-06,2.9396807743113394e-05,0.0,0.0007508540875278413,1.0534023063706288e-06,1.3118047229170645e-05,0.0,0.0006357544916681945,3.441541386445971e-08,8.659987699496784e-08,0.0,6.345146061903506e-07,2.9734917578893185,5.476881612135167e-09,1.827060574030453e-08,0.0,2.5636120426497655e-07,0.4732025712884784,3.9892295476594876e-08,9.182180995907072e-08,0.0,8.549216090614209e-07,3.446694329177797
4,run_e3sm_scm_ARM97_qmc64_0706_004,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_004.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,301.7713485485654,3.4029367435551525,292.3622131347656,308.9622802734375,45.2782843905129,7.725040956616324,26.901058197021484,67.23009490966797,0.9651673146845849,0.1624465072088533,0.0,1.0,186.7626891696305,240.71275500768982,-4.440892098500626e-16,848.8748168945312,32.17169410678699,15.49736341123671,-2.7053873538970947,72.72553253173828,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.01015004187798,36.03111818961444,194.14169311523438,310.09893798828125,0.00363799972149811,0.005474551843658636,4.892209304330208e-09,0.021252639591693878,0.148603316739129,0.34328144667058463,0.0,1.0,6.301492760583542e-06,3.093379997917392e-05,0.0,0.0007402937044389546,1.2629384344645013e-06,1.5210261933872287e-05,0.0,0.0008851757156662643,3.414836745740815e-08,1.0526818567459522e-07,0.0,9.65657022788946e-07,2.9504189483200642,8.958778741005906e-09,4.054175151041556e-08,0.0,5.370287112782535e-07,0.7740384832229102,4.3107146198414064e-08,1.1740902836265524e-07,0.0,9.723944685013919e-07,3.724457431542975
5,run_e3sm_scm_ARM97_qmc64_0706_005,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_005.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,302.0567962182246,3.210668869234736,292.73455810546875,309.5152282714844,43.53025578269012,7.152544686145704,26.729616165161133,65.26905822753906,0.9209173612230964,0.19303901186528927,0.0,1.0,186.05678644422008,236.43197146362908,0.0,857.8334350585938,31.95445849779871,15.665186413656428,-12.67883586883545,73.2474594116211,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.3464241421824,36.14956730810528,193.78662109375,310.6013488769531,0.003611688869080213,0.005593928312867101,1.7678775110496758e-10,0.025104913860559464,0.11746333677791225,0.28221407828884965,0.0,1.0,5.26299942815158e-06,2.3634707943098367e-05,0.0,0.0006286519928835332,7.228691500533037e-07,1.1027997403912765e-05,0.0,0.000671548186801374,3.8413348376433485e-08,1.0401372323889119e-07,0.0,1.0040156439572456e-06,3.318913299723853,3.4972104527417785e-09,1.215986613855853e-08,0.0,1.5108669515484507e-07,0.30215898311688966,4.1910558829175265e-08,1.0577138931254483e-07,0.0,1.0041344708083821e-06,3.621072282840743
6,run_e3sm_scm_ARM97_qmc64_0706_006,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_006.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,301.05170765029993,3.535876303628206,292.38916015625,310.13153076171875,47.91046535959236,7.868647893482751,27.532825469970703,68.11425018310547,0.9694913631717162,0.13710239400178356,1.610830622666981e-05,1.0,163.72488458911545,225.87762264405288,0.0,852.3567504882812,31.370165391575345,13.242821609099629,0.5481936931610107,74.06999969482422,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.3776722669029,35.5803406256292,197.8543701171875,311.2120666503906,0.0038158052184764394,0.005693591328356183,1.0288787599677107e-08,0.023596039041876793,0.15295248099008138,0.3299733804687264,0.0,1.0,5.0503593694956924e-06,2.1844996913750247e-05,0.0,0.0005942027783021331,1.0953150766063394e-06,1.1311417960971314e-05,0.0,0.0005881660617887974,3.354272599125836e-08,7.943416093058191e-08,0.0,5.543990937439958e-07,2.898091525644722,6.78942950661829e-09,2.4852469230069988e-08,0.0,2.601113919808995e-07,0.5866067093718204,4.033215549787665e-08,8.959314404001038e-08,0.0,5.82020476258549e-07,3.484698235016542
7,run_e3sm_scm_ARM97_qmc64_0706_007,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_007.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,301.13446193966894,3.4902032696533407,292.3185729980469,309.7715759277344,45.88093442130413,7.947379814297664,27.626813888549805,67.76751708984375,0.9100599785401852,0.2447669893230433,0.0,1.0,190.24972280985216,241.1111437483185,-4.440892098500626e-16,865.8298950195312,34.09180029012185,14.349621249607887,-1.2962110042572021,70.84244537353516,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,244.96788801631516,35.97146930499089,194.1210174560547,310.7676696777344,0.0037419254911624446,0.005681694115562274,9.281530211069366e-09,0.023216983303427696,0.12513585565801444,0.3013265465385135,0.0,1.0,5.363653534961667e-06,2.2588190159040815e-05,0.0,0.00037931627593934536,9.521324773977606e-07,1.26195151818519e-05,0.0,0.0006649948772974312,3.4614171146644286e-08,8.444052839344191e-08,0.0,5.819304647047829e-07,2.990664387070066,5.131161411930566e-09,1.510821595104472e-08,0.0,1.3637422568990587e-07,0.4433323459908009,3.9745332558574854e-08,8.883592732396313e-08,0.0,5.906797895249838e-07,3.4339967330608676
8,run_e3sm_scm_ARM97_qmc64_0706_008,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_008.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,302.3998655223007,3.536798933798857,292.75347900390625,310.2744140625,43.04282316691977,6.80549164142866,26.825767517089844,62.579559326171875,0.9136219866892397,0.25124455575677745,0.0,1.0,196.87366441951644,252.37759388645148,-8.881784197001252e-16,860.5116577148438,33.608850374015525,15.746315713168133,-5.5748419761657715,71.85208129882812,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,245.24619845000146,36.313776639666585,195.56130981445312,311.2694091796875,0.003502170259313641,0.005308946666425453,4.773683226488856e-09,0.024262400344014168,0.12827514942572063,0.3057097695171631,0.0,1.0,5.792494453778816e-06,2.6146060966397932e-05,0.0,0.0005375720793381333,5.087749342690413e-07,9.443417545907383e-06,0.0,0.0008118929690681398,3.8405647825539516e-08,1.0559618947308203e-07,0.0,8.386451781916548e-07,3.3182479721266143,4.085461121105526e-09,1.4579800378935324e-08,0.0,1.252511481197871e-07,0.3529838408635175,4.249110894664504e-08,1.081177219205655e-07,0.0,8.386504121138914e-07,3.6712318129901313
9,run_e3sm_scm_ARM97_qmc64_0706_009,/Users/yunlong/Workshop/SCM-UQ-Workflow/cases/run_e3sm_scm_ARM97_qmc64_0706/output/ARM97_qmc_009.nc,1249,1997-06-19 23:29:45,1997-07-15 23:29:45,300.4744072113159,3.621012878831772,292.0668640136719,308.9887390136719,48.04522467766694,8.88577065765058,27.813995361328125,72.0333251953125,0.9654520988136344,0.15343041156225432,0.0,1.0,183.17404613757822,236.73463544635703,-4.440892098500626e-16,865.8574829101562,33.62991416171563,14.45807316629338,-1.818593144416809,71.39678955078125,112.98614130941651,103.9257962906717,-32.756385803222656,370.2933044433594,36.71611922112709,50.58168982644641,-48.19628143310547,178.625732421875,96863.85649144315,329.1931532888907,96062.953125,97540.140625,298.97400674445805,1.588044389005983,295.1214294433594,302.9514465332031,244.92063698734256,35.953318575363774,192.19390869140625,310.0824890136719,0.0038765527522648213,0.005855022526332147,9.626134556128818e-09,0.024621514603495598,0.15066365731988002,0.3358985641212648,0.0,1.0,6.236770129391616e-06,2.4733776787041928e-05,0.0,0.0005477913073264062,1.0229226806895124e-06,1.2118259905953448e-05,0.0,0.0006192881846800447,3.2853683120272186e-08,8.347529991050601e-08,0.0,5.462980539050477e-07,2.838558221591517,6.021095369990389e-09,1.9368854635770105e-08,0.0,1.8217670572084899e-07,0.5202226399671697,3.8874778490262575e-08,8.802536959524296e-08,0.0,5.847096460342982e-07,3.3587808615586865
