experiment,platform,sample_index,sample_case,case,segment_index,script,start_datetime,start_date,start_seconds,stop_option,stop_n,spinup_hours,keep_hours,keep_start_datetime,keep_end_datetime
ARM97_qmc,mac,0,run_e3sm_scm_ARM97_qmc64_0706_000,run_e3sm_scm_ARM97_qmc64_0706_000,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_000.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,1,run_e3sm_scm_ARM97_qmc64_0706_001,run_e3sm_scm_ARM97_qmc64_0706_001,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_001.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,2,run_e3sm_scm_ARM97_qmc64_0706_002,run_e3sm_scm_ARM97_qmc64_0706_002,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_002.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,3,run_e3sm_scm_ARM97_qmc64_0706_003,run_e3sm_scm_ARM97_qmc64_0706_003,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_003.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,4,run_e3sm_scm_ARM97_qmc64_0706_004,run_e3sm_scm_ARM97_qmc64_0706_004,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_004.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,5,run_e3sm_scm_ARM97_qmc64_0706_005,run_e3sm_scm_ARM97_qmc64_0706_005,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_005.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,6,run_e3sm_scm_ARM97_qmc64_0706_006,run_e3sm_scm_ARM97_qmc64_0706_006,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_006.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,7,run_e3sm_scm_ARM97_qmc64_0706_007,run_e3sm_scm_ARM97_qmc64_0706_007,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_007.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,8,run_e3sm_scm_ARM97_qmc64_0706_008,run_e3sm_scm_ARM97_qmc64_0706_008,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_008.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
ARM97_qmc,mac,9,run_e3sm_scm_ARM97_qmc64_0706_009,run_e3sm_scm_ARM97_qmc64_0706_009,,cases/run_e3sm_scm_ARM97_qmc64_0706/scripts/run_e3sm_scm_ARM97_qmc64_0706_009.csh,1997-06-19 23:29:45,1997-06-19,84585,ndays,26,,,1997-06-19 23:29:45,1997-07-15 23:29:45
