,file_label,variable,dtype,dimensions,shape,units,long_name
0,IOP forcing,lon,float32,lon,1,degrees_E,longitude 
1,IOP forcing,lat,float32,lat,1,degrees_N,latitude
2,IOP forcing,lev,float32,lev,35,Pa, pressure
3,IOP forcing,time,float64,time,2089,day as %Y%m%d.%f,
4,IOP forcing,tsec,float64,time,2089,seconds,time 
5,IOP forcing,year,float32,time,2089,na,Year
6,IOP forcing,month,float32,time,2089,na,Month
7,IOP forcing,day,float32,time,2089,na,Day
8,IOP forcing,hour,float32,time,2089,na,Hour
9,IOP forcing,minute,float32,time,2089,na,Minute
10,IOP forcing,Ptend,float32,"time, lat, lon",2089 x 1 x 1,Pa/s,Surface Pressure Tendency
11,IOP forcing,Prec,float32,"time, lat, lon",2089 x 1 x 1,mm/s,Precipitation
12,IOP forcing,lhflx,float32,"time, lat, lon",2089 x 1 x 1,W/m2,surface LH
13,IOP forcing,shflx,float32,"time, lat, lon",2089 x 1 x 1,W/m2,surface SH 
14,IOP forcing,Ps,float32,"time, lat, lon",2089 x 1 x 1,Pa,Area_Mean_Ps
15,IOP forcing,CF_Ps,float32,"time, lat, lon",2089 x 1 x 1,Pa,Central_Facility_Ps
16,IOP forcing,Tsair,float32,"time, lat, lon",2089 x 1 x 1,K,Ts_Air
17,IOP forcing,Tg,float32,"time, lat, lon",2089 x 1 x 1,K,Ts_Skin
18,IOP forcing,RHsair,float32,"time, lat, lon",2089 x 1 x 1,%,Sfc_Air_RH
19,IOP forcing,windsrf,float32,"time, lat, lon",2089 x 1 x 1,m/s,Srf_wind_speed
20,IOP forcing,usrf,float32,"time, lat, lon",2089 x 1 x 1,m/s,u_wind_
21,IOP forcing,vsrf,float32,"time, lat, lon",2089 x 1 x 1,m/s,v_wind
22,IOP forcing,NDRsrf,float32,"time, lat, lon",2089 x 1 x 1,W/m2,Srf_Net_Dn_Rad
23,IOP forcing,TOA_LWup,float32,"time, lat, lon",2089 x 1 x 1,W/m2,TOA_LW_Up
24,IOP forcing,TOA_SWdn,float32,"time, lat, lon",2089 x 1 x 1,W/m2,TOA_SW_Dn
25,IOP forcing,TOA_ins,float32,"time, lat, lon",2089 x 1 x 1,W/m2,TOA_Ins
26,IOP forcing,lowcld,float32,"time, lat, lon",2089 x 1 x 1,%,GOES_Lowcld
