,file_label,variable,dtype,dimensions,shape,units,long_name
0,Model output,lat,float64,ncol,1,degrees_north,latitude
1,Model output,lon,float64,ncol,1,degrees_east,longitude
2,Model output,area,float64,ncol,1,,gll grid areas
3,Model output,lev,float64,lev,80,hPa,hybrid level at midpoints (1000*(A+B))
4,Model output,hyam,float64,lev,80,,hybrid A coefficient at layer midpoints
5,Model output,hybm,float64,lev,80,,hybrid B coefficient at layer midpoints
6,Model output,P0,float64,scalar,scalar,Pa,reference pressure
7,Model output,ilev,float64,ilev,81,hPa,hybrid level at interfaces (1000*(A+B))
8,Model output,hyai,float64,ilev,81,,hybrid A coefficient at layer interfaces
9,Model output,hybi,float64,ilev,81,,hybrid B coefficient at layer interfaces
10,Model output,P3_input_dim,int32,P3_input_dim,16,N/A,Input field dimension for p3_main subroutine
11,Model output,P3_output_dim,int32,P3_output_dim,32,N/A,Output field dimension for p3_main subroutine
12,Model output,time,float64,time,1249,days since 1997-06-19 23:29:45,time
13,Model output,date,int32,time,1249,,current date (YYYYMMDD)
14,Model output,datesec,int32,time,1249,,current seconds of current date
15,Model output,time_bnds,float64,"time, nbnd",1249 x 2,,time interval endpoints
16,Model output,date_written,|S1,"time, chars",1249 x 8,,
17,Model output,time_written,|S1,"time, chars",1249 x 8,,
18,Model output,ndbase,int32,scalar,scalar,,base day
19,Model output,nsbase,int32,scalar,scalar,,seconds of base day
20,Model output,nbdate,int32,scalar,scalar,,base date (YYYYMMDD)
21,Model output,nbsec,int32,scalar,scalar,,seconds of base date
22,Model output,mdt,int32,scalar,scalar,s,timestep
23,Model output,ndcur,int32,time,1249,,current day (from base day)
24,Model output,nscur,int32,time,1249,,current seconds of current day
25,Model output,co2vmr,float64,time,1249,,co2 volume mixing ratio
26,Model output,ch4vmr,float64,time,1249,,ch4 volume mixing ratio
27,Model output,n2ovmr,float64,time,1249,,n2o volume mixing ratio
28,Model output,f11vmr,float64,time,1249,,f11 volume mixing ratio
